"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0.698892495461485,0.0673773216001315,0.222,0.212,1,"Ppid","Pericyte","MCAO_vs_Sham"
0.699218768376159,0.0587772846618093,0.444,0.421,1,"Vps29","Pericyte","MCAO_vs_Sham"
0.699520631043697,0.114166271193186,0.2,0.19,1,"Mageh1","Pericyte","MCAO_vs_Sham"
0.699859126803544,-0.0598240673266563,0.298,0.283,1,"Trappc2l","Pericyte","MCAO_vs_Sham"
0.700360184871163,-0.110178768499147,0.098,0.106,1,"Kctd20","Pericyte","MCAO_vs_Sham"
0.700380490348647,0.31794360499514,0.124,0.118,1,"Add3","Pericyte","MCAO_vs_Sham"
0.700448603453962,0.115770383398496,0.171,0.162,1,"Npepl1","Pericyte","MCAO_vs_Sham"
0.70048763273656,-0.0707393718675778,0.2,0.184,1,"Cyp20a1","Pericyte","MCAO_vs_Sham"
0.701236292326673,0.0419909526947668,0.777,0.766,1,"Cdc42","Pericyte","MCAO_vs_Sham"
0.701864320986084,-0.192546676926095,0.192,0.199,1,"Fkbp7","Pericyte","MCAO_vs_Sham"
0.702631111744861,-0.00381454064969333,0.18,0.19,1,"Scarb2","Pericyte","MCAO_vs_Sham"
0.703284946713537,-0.0976373776184076,0.12,0.109,1,"Snx21","Pericyte","MCAO_vs_Sham"
0.703333482441175,-0.0795990297458563,0.272,0.277,1,"Acadm","Pericyte","MCAO_vs_Sham"
0.703940400848954,-0.0461433508111068,0.224,0.237,1,"Chd4","Pericyte","MCAO_vs_Sham"
0.704304224697695,0.0387942369117937,0.146,0.137,1,"Tipin","Pericyte","MCAO_vs_Sham"
0.704458052156491,-0.0398198774812306,0.114,0.106,1,"Parvb","Pericyte","MCAO_vs_Sham"
0.7047319180194,0.0500164276494438,0.235,0.221,1,"Csnk2a1","Pericyte","MCAO_vs_Sham"
0.705371690184531,-0.0729475359612217,0.199,0.206,1,"Sh3gl1","Pericyte","MCAO_vs_Sham"
0.70601741035223,-0.084780823145816,0.131,0.14,1,"Fam192a","Pericyte","MCAO_vs_Sham"
0.706486512338518,-0.0366345449943056,0.346,0.358,1,"Lamc1","Pericyte","MCAO_vs_Sham"
0.706520182083262,-0.22936540963633,0.194,0.199,1,"Ddah2","Pericyte","MCAO_vs_Sham"
0.706834490192559,-0.192803673703812,0.301,0.302,1,"Bad","Pericyte","MCAO_vs_Sham"
0.707301906489658,0.00331311545373342,0.324,0.312,1,"Ndufa10","Pericyte","MCAO_vs_Sham"
0.708356346082907,-0.0924719852352747,0.095,0.103,1,"Parva","Pericyte","MCAO_vs_Sham"
0.708666982189083,0.243058815511622,0.205,0.199,1,"Tcp11l2","Pericyte","MCAO_vs_Sham"
0.708859520056553,-0.0506438424352875,0.11,0.118,1,"Diaph2","Pericyte","MCAO_vs_Sham"
0.709049145019688,0.047878781919521,0.135,0.146,1,"Zfp644","Pericyte","MCAO_vs_Sham"
0.709519621328216,0.0778490675178622,0.527,0.526,1,"Cnn3","Pericyte","MCAO_vs_Sham"
0.709758323015196,0.038531170964285,0.124,0.115,1,"Med1","Pericyte","MCAO_vs_Sham"
0.709976312673785,-0.0941217952036562,0.246,0.224,1,"Rem1","Pericyte","MCAO_vs_Sham"
0.710115684944747,-0.232901545752134,0.142,0.15,1,"Cnot8","Pericyte","MCAO_vs_Sham"
0.710396472376309,0.151814923324324,0.277,0.274,1,"Mtch2","Pericyte","MCAO_vs_Sham"
0.71088441075354,0.00881622190734521,0.153,0.143,1,"Gga1","Pericyte","MCAO_vs_Sham"
0.710931755337909,-0.000294982023204438,0.308,0.293,1,"Nsmce1","Pericyte","MCAO_vs_Sham"
0.711050539523648,-0.00996172300047105,0.17,0.159,1,"Sf3a2","Pericyte","MCAO_vs_Sham"
0.711061370994249,0.0594654926110714,0.254,0.24,1,"Nktr","Pericyte","MCAO_vs_Sham"
0.711141690899096,0.0193560685176931,0.218,0.206,1,"Pear1","Pericyte","MCAO_vs_Sham"
