"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE250245","Astrocyte","Ferroptosis",9,0.149446613514719,0.0667590831425545,0.0826875303721644,0.0144234850353173,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Astrocyte","Necroptosis",7,0.2764206310703,0.149773691511251,0.126646939559049,1.53095011173028,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Oligodendrocyte","Apoptosis",9,0.121499319814708,0.0869707908666501,0.0345285289480577,-0.474758927425372,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Oligodendrocyte","Ferroptosis",9,0.103057658514295,0.0754739187185472,0.0275837397957481,-1.44162151234514,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Oligodendrocyte","Necroptosis",7,0.217044061647473,0.133683881460865,0.083360180186608,0.705070308983437,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Neuron","Apoptosis",9,0.195935384068715,0.165516567900714,0.0304188161680006,-0.557259513285119,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Neuron","Ferroptosis",9,0.145570393530981,0.0984071648526105,0.0471632286783706,-0.924259339242476,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Neuron","Necroptosis",7,0.28290373769372,0.263396577821652,0.0195071598720675,-0.513198754968202,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Microglia","Apoptosis",9,0.156390234615578,0.128044477969031,0.0283457566465461,-0.598875225670679,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Microglia","Ferroptosis",9,0.189628994733104,0.0660520436233285,0.123576951109776,1.09487250474876,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Microglia","Necroptosis",7,0.218353075154974,0.219236127329178,-0.00088305217420398,-0.902229131621034,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Endothelial","Apoptosis",9,0.190538844134618,0.162743109155584,0.0277957349790343,-0.609916656601199,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Endothelial","Ferroptosis",9,0.203597718837543,0.0901561666562603,0.113441552181283,0.827057954208509,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Endothelial","Necroptosis",7,0.326037630568378,0.333125914715896,-0.00708828414751783,-1.02062043261969,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Fibroblast","Apoptosis",9,0.194068615269754,0.119028906189981,0.0750397090797728,0.338484302358133,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Fibroblast","Ferroptosis",9,0.187047070946899,0.0886500177883956,0.0983970531585038,0.429526907595027,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE250245","Fibroblast","Necroptosis",7,0.28217645553246,0.225287015062419,0.0568894404700407,0.200027898495201,"Bormann D",1,0.128384005054556,"Acute",2,"snRNA","Rat"
"GSE276202","Neuron","Apoptosis",9,0.156934794888925,0.133146353329218,0.0237884415597065,0.460307663238437,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Neuron","Ferroptosis",8,0.265929745649526,0.213752891304172,0.0521768543453535,1.61679164195356,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Neuron","Necroptosis",7,0.252131423683289,0.178729390582038,0.0734020331012508,0.444054904245448,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Fibroblast","Apoptosis",9,0.275491157312306,0.335674084192667,-0.0601829268803615,-0.144239551018073,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Fibroblast","Ferroptosis",8,0.186772796087098,0.302499856467522,-0.115727060380424,-0.615606657035918,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Fibroblast","Necroptosis",7,0.302905024684833,0.203296954269515,0.099608070415318,0.770218038113365,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Oligodendrocyte","Apoptosis",9,0.0963078394066367,0.423848855794974,-0.327541016388338,-2.06906930220104,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Oligodendrocyte","Ferroptosis",8,0.103359260437898,0.196698776399358,-0.0933395159614601,-0.317948820045814,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Oligodendrocyte","Necroptosis",7,0.109182500726992,0,0.109182500726992,0.889382418367808,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Microglia","Apoptosis",9,0.218030284912238,0.14428660550986,0.0737436794023782,0.819957630082351,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Microglia","Ferroptosis",8,0.190873707044813,0.220792820747997,-0.0299191137031844,0.525269149909398,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
"GSE276202","Microglia","Necroptosis",7,0.220705207496561,0.202609090646173,0.0180961168503875,-0.244288424798624,"Rust R",2,0.108364166673097,"Chronic",30,"snRNA","Mouse"
