"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Pak1",1.80598340159537,8.05344549001204,0.916571730152197,0.750002215436871,0.813943031310469,1.5063109228044,1.54619342075193,1.28817236697899,1.80536063649451,1.75133222648961,1.46478059289534,8.51234697534875,2.04295862520695,0.814098036910522,1.55349480701453,0.981934145746167
"Wee1",0.175258613288776,0.0468113538278586,0.0197273862206274,0.200594535610343,0.137414443161344,0.108171329550089,0.123246931216126,0.16920306613983,0.19414309383537,0.170720273775518,0.154111438855375,0.0602354373738242,0.060771522646336,0.452469384386213,0.114020001524736,0.293545956887639
"Phkg2",0.396560966144088,0.290849533598593,0.280925862528901,0.330957819525959,0.212541956482376,0.378060092114782,0.373163061329106,0.323077619800408,0.385956580948189,0.251399029799455,0.199658349103515,0.237357498427709,0.171160685595931,0.209583522006608,0.237059291633663,0.173848171660805
"Mgmt",0.051697342544214,0.024724369204885,0.20221187311182,0.415396899136299,0.525187478180512,0.795623142041531,0.355940982699809,0.164147600804404,0.0357009692097695,0.190546639624306,0.0579297427971944,0.013099929204698,0.632278685290363,0.47158910506705,0.257515689122289,0.272370188929207
"Ifitm3",0.138438835380534,0.164234602468079,0.677095473967122,0.57584604757321,3.0544916994444,0.344113121610667,0.379873665401888,0.155012318793226,0.0702756560740673,0.187606769478254,0.12101519871579,0.130821113974023,0.0713027364330582,1.22647625198653,0.338040314826361,3.3510080457728
"Fadd",0.00649647088484526,0.0122430229292864,0,0.0160948162854633,0.0133056092969962,0.0239293810936604,0.0117603965504426,0.00921117526921827,0.00747332493483465,0.00490622365551781,0.0177676127780878,0.00298510712056885,0,0.0259068802423137,0,0
"Ccnd1",0.17234390299836,0.205556322808397,0.459288127277703,0.215899199238702,0.488087721118017,0.389867458339864,0.384104104605286,1.14938042608451,0.168224315763361,0.151828424849685,1.10461331654299,0.152869122132412,0.410321787903424,0.367100347177175,0.187814642901279,0.386076720705809
"Vdac3",0.60651580668355,0.768917260258447,1.02673279836521,0.695877528646723,0.941243394702931,0.780214971142672,0.785198026068267,0.688385081627637,0.640518553649972,0.894669552675728,0.709589948203038,0.927191776232098,0.903883883765506,0.95671016608611,1.27180373017674,1.49948364669381
"Plat",0.245134800880034,0.234846307840308,0.987751342992512,1.00222529097189,1.27462315027267,0.0761259581241898,0.307001609065889,0.234328001827995,0.230305613659191,0.122181263742342,0.322018221037495,0.315027168370201,0.152228613856463,1.16826499364527,0.773938553454445,1.0094731675722
"Gsr",0.451112518071284,0.517523968387313,0.210253082831934,0.488038347190682,0.508945764742901,0.438060402669381,0.598330396807835,0.494701502516664,0.397996864187429,0.500672833856828,0.572756503712627,0.439067606359691,0.292899164881226,0.500654655168133,0.191398734405139,0.30663614390189
"Acsl1",0.86000781875331,1.1831091906798,2.40972754229776,1.08696767634788,0.614325181472228,0.66452183010087,0.187999979306735,0.33061147098885,0.869087283156215,0.186528488945692,0.284053941299943,1.29786473894602,0.618974247430035,1.42303948115363,2.66490759551869,0.891238321038307
"Casp3",0.0858318820131229,0.0375804251677271,0.0751731730507893,0.18116352497386,0.0853737823590907,0.180662329905114,0.128580465214651,0.214819088040588,0.0957313294860843,0.11368542953657,0.0709646661383443,0.0484729010673748,0.0945237702166459,0.195424073684767,0.106112437117131,0.0744494605855871
"Irf2",1.50215831299392,1.43422619488101,1.42282593508037,1.95340740784602,2.65467220430934,3.27901428696291,1.69419037172727,1.384092185171,1.42994972754904,1.49354305748274,1.6186287628718,1.39348501019449,2.83905464999004,1.94593065877423,1.30548036510175,2.49591337862354
