gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Parg,0.06171267,0.061954953,0.047645476,0.05356144,0.028818356,0.047734547,0.034762755,0.04193961,0.026710197,0.039417993,0.044409905,0.041841194,0.04841381,0.04859106,0.047639623,0.046862
Osmr,0.045018684,0.23236537,0.16720633,0.2737463,0.026901506,0.07393685,0.029043246,0.08201999,0.04767979,0.08473938,0.03626199,0.084497966,0.019457165,0.07301403,0.12380935,0.31977826
Ccl5,0.01381799,0.103499405,0.0111686345,0.06917337,0.077252105,0.21092266,0.02162684,0.1010527,0.9571938,1.0678124,0.017125046,0.08179266,0.017261146,0.07349836,0.0078159785,0.078414954
Vim,0.6639526,0.9860084,1.368355,1.5609114,0.60393333,1.1443851,0.22749618,0.32594937,0.9768285,0.9046554,0.3961309,0.5675252,0.19109003,0.41094348,2.400672,1.9113857
Fcgr4,0.007937319,0.08825858,0.0046183593,0.050273355,0.27749845,0.64494693,0.10663033,0.529303,0.31743398,0.3856572,0.0058645345,0.053242862,0.008740297,0.07018473,0.0047321194,0.0545024
Apoe,5.3491693,4.892475,3.227392,2.6120634,5.549515,3.441098,2.691165,2.6547894,2.438852,2.3771095,3.5473175,3.438376,2.7858908,2.6147487,2.3307447,2.1705647
Cx3cr1,0.4583231,0.45147133,0.30727142,0.29607913,1.136624,0.95124906,3.3272815,2.5469952,0.46949401,0.38194856,0.41506276,0.32259348,0.42884323,0.34327435,0.37514615,0.34347364
Klf4,0.23091318,0.33785275,1.1958196,1.0388035,1.2097878,0.5981756,0.85716254,0.94996065,0.24172878,0.28614977,0.21323231,0.21546161,0.1503756,0.2031666,0.57016295,0.58775747
Siglech,0.17853133,0.11851401,0.10436679,0.048670724,0.30219966,0.1654577,2.198667,0.9212367,0.28387892,0.08539461,0.16018619,0.055604596,0.16592494,0.053964954,0.1457867,0.061877646
Hk2,0.0950418,0.16947757,0.017057031,0.04251139,0.6019645,0.5285914,1.232684,1.126277,0.23885255,0.19506936,0.048910905,0.06305438,0.06708,0.10245824,0.045607056,0.060515113
Tmem119,0.37685427,0.35948464,0.28524968,0.2151823,0.47743005,0.46594143,3.1244304,2.3714476,0.37883765,0.25578797,0.39990172,0.27593887,0.35137638,0.28509736,0.34656525,0.25320646
Cst7,0.0026591788,0.039277848,0.0025123993,0.015668955,0.012130162,0.13726479,0.05019039,0.21840999,0.14455684,0.11976897,0.0024870639,0.024559785,0.005255239,0.025310226,0.0018882831,0.022871306
Il23a,0.0,0.0002660499,0.0004069818,0.0018002243,0.0,0.00024974116,0.0,0.00080682547,0.0,0.0,0.0,0.0,0.0068500214,0.0020978414,0.0,0.0
Thbs4,0.049595993,0.042175286,0.00033802717,0.0019884373,0.0,0.0015601673,0.00025572485,0.00043680027,0.0,0.0021498406,0.00072724157,0.0015578636,0.0,0.0,0.0,0.00267174
